input,course,feeling,wordlimit,output
請生成運算思維與程式設計課程的正面心得並限制在83字內,運算思維與程式設計,正面,83,老師人很好，有問題都可以舉手問，真的寫不出來有解答看。但期末要做的遊戲專題很吃隊友，不過不管哪個老師都得做專題～我自己覺得期中期末都不難，蠻適合想學程式的人來修課的！
請生成運算思維與程式設計課程的正面心得並限制在86字內,運算思維與程式設計,正面,86,期中考以前還算簡單，期中之後超級難，期末考基本上不及格很正常，但專題好好做成績還是不會太差，考試前會有例題，可以試著做做看，會很有幫助，專題需要做一個遊戲，盡量找厲害的組員
請生成資料結構課程的正面心得並限制在97字內,資料結構,正面,97,認真覺得老師很會教，講得很清楚，對於剛接觸程式的人來說很讚！給分也很甜 主要在認識基本的資料結構，老師很可愛，興趣是賞鳥，有時候老師會開始分享他假日去拍的鳥類！ 感覺得出來老師是真的很喜歡鳥類~
請生成經濟學課程的正面心得並限制在91字內,經濟學,正面,91,此課程介紹經濟學的基本原則，可以幫助學生瞭解決策方法、市場的基本運作原理、廠商理論基礎、與整體經濟體系的運作等。瞭解經濟學的基礎理論與觀念 應用經濟學於日常生活 應用經濟學於工作場域
請生成會計學課程的正面心得並限制在58字內,會計學,正面,58,超級超級推！慧玲老師的會計！老師以前是四大會計事務所的，跟她學真的可以學到超多！每堂課都可以學得很精實！推推慧玲～～
請生成新音樂合奏 (二)課程的正面心得並限制在74字內,新音樂合奏 (二),正面,74,超棒的課～可以學到很多！而且給分也很甜！我同學幾乎半學期沒出現，但老師還是讓她過。只是認真推說如果想學東西的人還是用心來上一下拉，老師真的教得很棒！
請生成微積分乙課程的正面心得並限制在60字內,微積分乙,正面,60,微乙推張幼賢，寫題目是滿不容易的啦！但是老師會給他自己的講義，練習練習應該沒問題的。或是你要先看一下講義也可以再跟我說～
請生成微積分乙課程的負面心得並限制在69字內,微積分乙,負面,69,真的不喜歡上他的課，每次上課我都帶筆電去最後一排插插座，做自己的事。然後我同學作業都有交，考試、出席都有，結果還是拿C-，真的是個爛老師…
請生成微積分乙課程的正面心得並限制在64字內,微積分乙,正面,64,教的不錯！建議每堂課都來，因為老師是真的把微積分講得很詳細，就算有同學真的不會，老師也會細心教學。就算是文組生也推推來修他的課～
請生成微積分3課程的正面心得並限制在153字內,微積分3,正面,153,這是一門半學期的課程，主要介紹多變數函數的微積分運算，和其在經濟學豐富的應用。 微分主題包含多變數函數的極限，偏微分，方向導數，切平面，線性逼近，和微分連鎖律；並討論求函數極值，Lagrange乘子法等應用問題。積分部分涵蓋多重積分與逐次積分的定義，Fubini定理，和變數變換；並探究機率如何使用重積分。
請生成微積分2課程的正面心得並限制在84字內,微積分2,正面,84,修完本課程學生能熟悉微積分工具，並期望能應用在經濟學和其他專業科目。微積分2我有比較認真一點，但其實只是會努力定期交作業，所以成績沒有向微1那麼慘，雖然其實還是蠻爛的。
請生成微積分1課程的正面心得並限制在178字內,微積分1,正面,178,"這是一門半學期的課程,主要介紹單變數函數的微分運算,和微分在各領域豐富的應用。內容涵蓋極限與連續的定義,微分技巧,畫函數圖形,和極值問題等。課堂上將講解定義並推導重要定理,以培養學生邏輯推理與分析能力;同時會示範微積分在各領域的應用,幫助學生將微積分與其他專業科目結合。本課程還設有習題課,學生將在助教的帶領下熟練微積分的計算並完成學習單上的小型研究題目。"
請生成進階日文課程的正面心得並限制在68字內,進階日文,正面,68,老師會非常仔細的拆解文法規則來講解，只要認真聽一定聽得懂。我自己修完進階日文，就已經可以有N3的實力了XD 因為老師真的教得超級無敵好！
請生成程式語言課程的正面心得並限制在104字內,程式語言,正面,104,可能因為我對於C程式不是很了解，我覺得蠻難的，老師上課喜歡用EVERNOTE記錄每周上課的內容。 考試是直接區教室上機考，寫完之後舉手請老師過去看，但老師可能根本不知道是誰先舉手的，導致那個評分的順序有點迷。
請生成程式設計(一)課程的正面心得並限制在58字內,程式設計(一),正面,58,紀老師是一位很認真的老師，上課常常會補充一些課外的東西，假如你真的認真上課，搞懂所有它講的東西，你就會變得很厲害了。
請生成無機化學（一）課程的正面心得並限制在82字內,無機化學（一）,正面,82,無機化學的基本介紹，是化學系的必修課，主要課程內容有，分子軌域，分子組態，酸鹼軟硬理論，群論等等，雖為中文授課，但考試皆為全英文，可以用中文回答，需要分組上台報告。
請生成智慧財產權(民主)課程的正面心得並限制在86字內,智慧財產權(民主),正面,86,學到如何巧妙的運用法律來保護自己，和如何有技巧的引用別人資料，只要是在合理範圍內，都是可以合法使用的，我覺得這個不管是在發表學術上的文章或是表達自己理念或想法時都能幫到自己
請生成普通物理乙課程的正面心得並限制在58字內,普通物理乙,正面,58,老師人很好 上課記得來，小考段考記得考，應該就會過，考試我覺得不難 給分算甜。助教人很nice，有問題也可以幫忙解決
請生成普通物理課程的正面心得並限制在86字內,普通物理,正面,86,基本的普通物理，就很類似高中的物理範圍，基本上只是算式變得比較難，然後相關的觀念再加深一點而已，牛頓基本定理，電磁學等等的概念，其實你高中有學好上學期的課程應該是沒什麼問題
請生成普通地質學課程的正面心得並限制在148字內,普通地質學,正面,148,上課內容跟高中的很不一樣，內容比較多需要記憶（如果對地質沒有什麼興趣，可以找考古題的答案背起來）。賴老師的實習課是進入實驗室觀察石頭樣本，紀錄在學習單上。葉老師的實習課是繪製地質圖，有些部分有點難理解，要花比較多的時間去寫。期中後會有一次出野外（可以不參加），實地的去觀察地質特徵跟應用地質設備。
請生成普通生物學乙課程的正面心得並限制在86字內,普通生物學乙,正面,86,課本跟投影片都是中文，雖然每次上課都會有小考，但上課的內容大多都是高中甚至是國中教過的，非常的簡單.0.，考試前翻一下投影片就可以考高分了 ! 所以其實可以不用買課本拉 ~
請生成普通心理學（一）課程的負面心得並限制在114字內,普通心理學（一）,負面,114,這是全英文的課程，因為常常聽不懂，所以覺得沒學到什麼。上課每節都有小考，前面幾週是用google表單填寫選擇題，每次約10題。到後面幾週改用moodle上傳簡答問題，比較像開放式問題。因為我英文不好，覺得這堂課好累又沒有成就感。
請生成普通化學甲（一）課程的正面心得並限制在90字內,普通化學甲（一）,正面,90,學到化合物英文名、氣體、量子力學、MO、熱力學等。 學MO簡直大開眼界，發現高中學的VSEPR等等理論其實有點小小受限。 「科學家就是很會找理由的生物，高中那些理論通通是唬你們的」
請生成普通化學乙課程的負面心得並限制在99字內,普通化學乙,負面,99,雖然教的是普化乙，但很多內容會被跳過，期中期末考也只是從老師圈選一些課本上的題目裡選幾題一模一樣出在考卷上，基本上是有背有分，內容也只是高中化學英文版，事實上學不到什麼東西，自己看課本還比較實在些。
請生成創造力教育課程的負面心得並限制在158字內,創造力教育,負面,158,課堂非常涼，不用考試，基本上學生都在台下做自己的事，非常適合需要在課堂上「運用自己時間」的學生。且這堂課是資優教育學程與特教系的必修，若是習慣「聽老師講述課程內容」的學生可能學到的東西不多，因為老師基本上不會教學，僅會在學生導讀後給出因應之評價，因此基本上要靠同學小組導讀或自己到圖書館借閱指定參考書目才能學到東西。
請生成通識教育講座課程的正面心得並限制在88字內,通識教育講座,正面,88,這堂課蠻涼的，只需要一直去聽演講然後回去寫心得，有時候演講大概也只有一個多小時(上課時間表訂為兩小時)，因此cp值蠻高的，但因為分數部分出席及心得都佔很大部分，因此每場都要參加
請生成軟體工程課程的正面心得並限制在91字內,軟體工程,正面,91,"這堂課主要就是把修課的人分成三組去做一個期末專案(題目由老師決定，之前的題目有AP controller, judge系統等等)，讓大家學會如何團隊合作，分工，體驗做一個產品的感覺。"
請生成軟式棒球課程的正面心得並限制在110字內,軟式棒球,正面,110,上完棒球課我覺得很開心，在上課中老師很耐心的教導我們，從一開始的姿勢到動作，老師都很有耐心的去指導我們，接球時不會很困難，接到球的時候也很開心，最後到團體比賽時大家一起團結去爭取勝利的過程，真的魂體驗到那種熱血慢畫的感覺
請生成設計素描與表現技法課程的正面心得並限制在88字內,設計素描與表現技法,正面,88,我其實沒有很會畫畫，但老師也不會因為你不會就給你比較低分。 會跟你說怎麼畫比較好看。 然後規定的素描作業，基本上時間應該都給的蠻充足的，老師人很好，如果有困難也都可以跟老師說！
請生成統計學課程的正面心得並限制在103字內,統計學,正面,103,可能因為我不是本科系的，我覺得多都聽不太懂，SPSS軟體也沒有很好用......每次使用都一定要先連接學校的VPN有點麻煩。 考試也覺得有點難，上完之後我印象比較深刻的就只有幾個分析方法，還有判斷P值這樣。
請生成統計與生活課程的正面心得並限制在137字內,統計與生活,正面,137,主要在上簡單的統計，班上有很多文組的，前幾週是影片教學（期中考範圍，非開書考）最後一節課到就行，期中考後是聽講，每週撰寫簡單的心得報告就行。如果全班的期中考試不太理想，老師會有第二次開書考！最後有個統計報告，一開始就可以先準備問卷設計，是後面幾週助教會帶大家去蒐集問卷調查。
請生成現代醫學 課程的負面心得並限制在200字內,現代醫學 ,負面,200,全英文上課所以要全英文報告、回答問題。雖說這堂是現代醫學，其實比較像醫學英文，會請學生朗讀文章，然後再針對文章的字請學生解釋。老師會很在乎發音有沒有正確，然後課堂討論時會糾結在奇怪的點問奇怪的問題。課堂討論基本上就是老師問問題點學生回答，老師不會教任何醫學知識，都是請學生自己講，如果都沒人會就會叫學生查完答案上台發表。 總之學不到什麼醫學知識，想練英文聽力或口說的可以來，老師會一直問問題逼你回答。
請生成現代戲劇課程的正面心得並限制在55字內,現代戲劇,正面,55,這門課只有一次課堂報告和一篇觀劇心得，負擔極小。未來兩年暫時都不會再開課，大家快把握機會選修！！不然要沒機會了
請生成現代舞課程的正面心得並限制在101字內,現代舞,正面,101,"我修過老師的土風舞,老師人真的很好,他不會責罵你學不會,他只會罵你為什麼要翹課害全班進度落後,老師非常注重上課態度,態度就是一切,而且老師也很關心學生的身體狀況,跟老師熟一點的,老師會跟你講好多事情喔!"
請生成液晶導論課程的正面心得並限制在81字內,液晶導論,正面,81,液晶的基本原理、組成等等，然後會介紹不同架構的LCD(其實LCD的運作方式 分很多種)。大部份都是記憶式的文字敘述，以及圖片，計算很少很少。是可以學到東西的一門課
請生成教學媒體與操作課程的正面心得並限制在104字內,教學媒體與操作,正面,104,上課內容算蠻豐富，把教學現場能用的一些比較新的軟體做一個比較完整的教學，不是上word、excel、PowerPoint 但是作業不少，需要有過人的勇氣才能來修此門課，不然會累死 最後一節課老師會請全班喝飲料
請生成教育議題專題課程的正面心得並限制在107字內,教育議題專題,正面,107,我覺得這個老師非常的可愛，講話也很好笑，老師上課會需要同學小組討論、互動，所以可以找認識的一起去上，但這堂課期末會需要參加一整天的工作坊，那天真的會非常的累，需要一直動腦且和隊友合作想出完整的教案，這部分要自己斟酌
請生成教育議題專題課程的正面心得並限制在81字內,教育議題專題,正面,81,這堂課提到的議題主要完繞在家庭上，上課蠻有趣的，會講到擇偶、家庭關係等，上完真的會省思自己與人的關係，學期末有個工作坊，需要去一整天，會和組員完成教案，並上台分享
請生成教育統計學（一）課程的正面心得並限制在117字內,教育統計學（一）,正面,117,這堂課雖然是EMI，但老師很關心我們聽不聽得懂，都會確認我們可以了解才繼續下去。所以基本上都能夠學得不錯，尤其給分真的甜，只要上課有聽，把不會的弄懂，基本上都能夠有A+，同時也能夠學到許多統計知識（雖然偏簡單），也可以鍛鍊一下英文聽力
請生成教育哲學課程的正面心得並限制在90字內,教育哲學,正面,90,老師人真的超級好！而且感覺是用生命在上課的！看老師寫板書就能感受到她的熱情，而期中期末只要讀老師的簡報便能拿到高分，上課會有閱讀、討論的環節，老師會帶著大家，讓讀本不會那麼艱深難懂
請生成排球(下)課程的正面心得並限制在92字內,排球(下),正面,92,承接排球（上）所學，學期開始前會先複習上學期所學，如排球接發球動作等等，到了下學期的課程則會多加入實力分組對抗賽，老師會按照實力分配所以都打的起來蠻好玩的，最後也會依照比賽表現作評分。
請生成排球(上)課程的正面心得並限制在80字內,排球(上),正面,80,此門課程是台科大校園內難能可貴能見到女生人數蠻高的體育課程，約6比4左右，可惜的是男女網高度並不相同比賽時老師會特地分開，但在練習時間卻是混的，挺不錯的一門課程
請生成專題製作（一）課程的正面心得並限制在101字內,專題製作（一）,正面,101,蔡老師是一位非常具有教學熱忱的老師，給我們相當大的自由，如果製作上有遇到什麼困難也可以詢問老師，老師會給予非常實用的建議和學習管道。老師人真的很好，若你是比較自律、會時間管理的人非常歡迎找她當指導教授！
請生成專家文課程的正面心得並限制在56字內,專家文,正面,56,推！真的是好課+好老師～希望有興趣的人能一起來試試看！這門課認真可以學到超爆多東西的！專家文我一生也只推基倫教的
請生成專利法課程的負面心得並限制在217字內,專利法,負面,217,本人是112-2修的課，老師上課很中規中矩，好好聽課跟看講義可以學到很多，但是有非常大一部分在講國際公約和國外案例，這跟考試都沒有太大關係，還有明明是法律學院選修，但老師會很在乎外系來修課的同學，頻頻強調「這對於法律學院同學來說⋯⋯，外系同學就看過就好。」之類的言論，佔總成績20%的法院旁聽心得也只有法律學院同學要交，考試也是對法律學院同學特別嚴格，個人認為不管是不是法律學院同學，大家都是第一次修這門課，屬實不應該有這麼多差別待遇
請生成國學概論課程的正面心得並限制在70字內,國學概論,正面,70,老師真的不錯~如果不看考試~其實我很喜歡他教學的內容還有他學者的氣質風度。他上的國概，都有一種莫名的氣質，我之前想搶他的課都得排授權碼 XD
請生成國會與憲政民主課程的正面心得並限制在132字內,國會與憲政民主,正面,132,很甜很涼的課，老師會上傳逐字稿到ntu cool，內容期末考會考，但如果有考古就算平常完全不看也沒差，不會點名也不用上課，期末報告不一定要跟美國國會有關，範圍很廣，寫其他任何有興趣的國家或主題皆可，給分甜，報告把資料整理後貼一貼，期末考看考古，花不到2小時A+到手
請生成國文(二)課程的正面心得並限制在54字內,國文(二),正面,54,上課有趣，不太拘泥在課本，認真上課的話收穫會很多，分數也給的蠻高的，是蠻推的老師，基本上是會上她印的講義內容
請生成商事法總論及公司法課程的正面心得並限制在111字內,商事法總論及公司法,正面,111,這學期公司法開在禮拜一早上，害我每次都想睡覺。大家好像都跑去選曾班，所以這學期林班人數只有十幾個，老師偶爾會點人問問題，老師人蠻好也不用太緊張。上課講義老師會印好發紙本，不提供網路檔。最後是助教真的讚，可惜明年應該會換人。
請生成高級寫作（二）課程的正面心得並限制在84字內,高級寫作（二）,正面,84,我覺得因為這是三年級必修，大部分的同學都已上過基本寫作，這種工作坊的方式蠻有趣的，報告中也不一定需要全部英文，遇到不好解釋的可以講中文輔助，上課氣氛很快樂，老師人也很好
請生成高級統計學(乙)課程的負面心得並限制在81字內,高級統計學(乙),負面,81,一生修過最糟糕的課沒有之一，老師上課完全沒內容沒重點。修完我還是不知道老師在共三小，老師每次上課講話都像是在念經一樣，除非只是想要來混學分的吧，不然真的不推他的課
請生成高行健的文學與藝術課程的正面心得並限制在89字內,高行健的文學與藝術,正面,89,本課程由五位教師分別從戲劇、舞蹈、繪畫、文學與歷史五個角度出發，探討諾貝爾文學獎得主高行健先生的創作理論與精神，上課題材多元，舞台劇、舞台表演、繪畫、文本應有盡有，課程豐富有趣！
請生成財務管理課程的正面心得並限制在50字內,財務管理,正面,50,期中報告(3個人一組的樣子) 有期中期末，偶爾傳個點名單點名，考試有看點書其實沒很難，分數可以滿高的
